CONTAINER ID   NAMES                                 IMAGE                                                STATUS                             PORTS
32bb6752662c   automation-master                     raf-com/automation-master:latest                     Up 4 hours (healthy)               0.0.0.0:8110->8000/tcp, [::]:8110->8000/tcp
5a8c83e4434f   service-elasticsearch                 service-elasticsearch:local                          Up 4 hours (healthy)               0.0.0.0:8465->8200/tcp, [::]:8465->8200/tcp
e9df4cdf99ad   service-elasticsearch-es              elasticsearch:8.15.3                                 Up 4 hours (healthy)               127.0.0.1:9200->9200/tcp
e522fe21952c   service-elasticsearch-meili           getmeili/meilisearch:v1.10                           Up 4 hours                         127.0.0.1:7700->7700/tcp
5cf1839f52ef   infra-edge-traefik-1                  traefik:v3.1                                         Up 4 hours (healthy)               0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 127.0.0.1:8088->8080/tcp
5512738050ac   infra-edge-docker-socket-proxy-1      tecnativa/docker-socket-proxy:latest                 Up 4 hours (healthy)               2375/tcp
db7481b10cc0   infra-prometheus-1                    prom/prometheus:latest                               Up 41 minutes (healthy)            127.0.0.1:9090->9090/tcp
984fb930b873   services-proxy                        nginx:1.25-alpine                                    Up 4 hours (healthy)               127.0.0.1:8500->80/tcp
2f681f4008e9   customer-service-gateway              customer-service-gateway:local                       Up 4 hours (healthy)               127.0.0.1:3101->3100/tcp
2a2534af66b1   kb_search_api_service                 kb-search-api-search-api                             Up 4 hours (healthy)               0.0.0.0:8010->8000/tcp, [::]:8010->8000/tcp
1a5b099e94d8   kb_search_redis                       redis:7-alpine                                       Up 4 hours (healthy)               0.0.0.0:6381->6379/tcp, [::]:6381->6379/tcp
6819f5b6148e   kb_search_postgresql                  postgres:15-alpine                                   Up 4 hours (healthy)               0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
304cae3b6024   kb_search_meilisearch                 getmeili/meilisearch:v1.7.0                          Up 4 hours (healthy)               0.0.0.0:7701->7700/tcp, [::]:7701->7700/tcp
c8f1810837d9   wamp-scheduler                        7d38a195d5d0                                         Up 4 hours (healthy)               9000/tcp
bd0e56d4891c   wamp-queue-worker                     7d38a195d5d0                                         Up 21 seconds (healthy)            9000/tcp
f021ccbde98e   wamp-nginx-exporter                   nginx/nginx-prometheus-exporter:1.3                  Up 4 hours                         
b3a18e01b1f0   wamp-vault-agent                      hashicorp/vault:1.15                                 Up 4 hours (healthy)               8200/tcp
b5f1c457e380   wamp-redis-exporter                   oliver006/redis_exporter:v1.62.0-alpine              Up 4 hours (healthy)               9121/tcp
8dacca295c4b   infra-promtail                        grafana/promtail:latest                              Up 4 hours                         127.0.0.1:9080->9080/tcp
9c852259305e   infra-loki                            grafana/loki:latest                                  Up 4 hours                         127.0.0.1:3100->3100/tcp
da6c6dd9f41f   lambda-automation-init                localhost:5000/automation-init:latest                Up 4 hours                         0.0.0.0:9006->8080/tcp, [::]:9006->8080/tcp
a4195db1a6f5   infra-alertmanager                    prom/alertmanager:latest                             Up 4 hours                         127.0.0.1:9093->9093/tcp
2eaf19fef0a0   lambda-automation-eval                localhost:5000/automation-eval:latest                Up 4 hours                         0.0.0.0:9004->8080/tcp, [::]:9004->8080/tcp
842f5436c3fa   lambda-automation-roadmap-generator   localhost:5000/automation-roadmap-generator:latest   Up 4 hours                         0.0.0.0:9007->8080/tcp, [::]:9007->8080/tcp
69f0bcc2117e   lambda-automation-smart-roadmap       localhost:5000/automation-smart-roadmap:latest       Up 4 hours                         0.0.0.0:9009->8080/tcp, [::]:9009->8080/tcp
582c5753ddc7   lambda-automation-eval-response       localhost:5000/automation-eval-response:latest       Up 4 hours                         0.0.0.0:9005->8080/tcp, [::]:9005->8080/tcp
e8b04c75ce63   lambda-firecrawl-python               localhost:5000/automation-firecrawl-python:latest    Up 4 hours                         0.0.0.0:9001->8080/tcp, [::]:9001->8080/tcp
76cfef2a97da   lambda-automation-skill-loader        localhost:5000/automation-skill-loader:latest        Up 4 hours                         0.0.0.0:9008->8080/tcp, [::]:9008->8080/tcp
44980114f3ba   lambda-firecrawl-js                   localhost:5000/automation-firecrawl-js:latest        Up 4 hours                         0.0.0.0:9002->8080/tcp, [::]:9002->8080/tcp
11ab8520c65e   lambda-automation-client              localhost:5000/automation-client:latest              Up 4 hours                         0.0.0.0:9003->8080/tcp, [::]:9003->8080/tcp
8b299d5a91cc   lambda-migration-registry             registry:2                                           Up 4 hours                         0.0.0.0:5000->5000/tcp, [::]:5000->5000/tcp
76d441abfcea   infra-vault-1                         hashicorp/vault:1.15                                 Up 4 hours (unhealthy)             127.0.0.1:8200->8200/tcp
